,w2v
double_layer_200,"(0.7804932347193707, 0.6940253871203562, 0.7097804662543329, 0.7018145161290322)"
single_layer_200,"(0.7913770499913424, 0.7062430201239407, 0.7306916785609099, 0.718259359062869)"
