,neg,acc,prec,rec,f1
0,0.0,0.6634915445656373,0.6444223107569721,0.19946384290597144,0.304635761589404
1,5.0,0.67388127718172,0.5469736990147176,0.6842101735808592,0.6079432615666787
2,10.0,0.669428180818498,0.5398273985776832,0.7147711279404866,0.6151020113906711
3,20.0,0.6636426229183384,0.5323032421357117,0.7399839152871791,0.6191932928624504
,neg,acc,prec,rec,f1
0,0.0,0.621412899092418,0.4275653538485092,0.07484105237064778,0.12738468555789953
1,5.0,0.6634377295855896,0.5355404823428079,0.6664880110945111,0.5938816140981366
2,10.0,0.6488085667427727,0.5170810800678557,0.7392454928548937,0.6085198962104689
3,20.0,0.6301399343493436,0.4994603447913823,0.7967748202836604,0.6140204141691061
