,acc,prec,rec,f1,threshold
0,0.6504893594215088,0.5238004569687738,0.43628084007340445,0.4760515679270237,0.9
,acc,prec,rec,f1
0,0.748451942183854,0.6662763180365464,0.6187272027005596,0.6416220280048868
,threshold,acc,prec,rec,f1
0,0.91,0.7190903768933303,0.588221895149986,0.7605745485851515,0.6633863908073233
1,0.92,0.7216794056777236,0.5921449614879495,0.7559074741158612,0.6640792158033537
2,0.93,0.7244993032709163,0.5964950160135305,0.7510818097374204,0.6649217284916313
3,0.94,0.7277314665941079,0.6015750621254202,0.7458936541380639,0.6660058462378751
4,0.95,0.7308317048836999,0.6067184134293991,0.7402297288112554,0.6668571603514608
5,0.96,0.7339896603754916,0.6123035609599273,0.7335462969256213,0.6674637696097632
6,0.97,0.7377989957206817,0.6190494568048935,0.7268175536373729,0.6686188282861967
7,0.98,0.7419051623914711,0.6268403059107167,0.7186388454654614,0.6696079880095417
8,0.99,0.7464730666798591,0.6366846993977748,0.706586012370013,0.6698165886345089
9,1.0,0.7479984498808552,0.663953432201343,0.6227825732345544,0.6427093440572357
