,ns,acc,prec,rec,f1
0,-1.0,0.763812963283614,0.6889880952380952,0.6398649720202089,0.66351857725153
1,-0.9,0.7654785168328098,0.6954962136309286,0.6325471804979723,0.662529810282026
2,-0.8,0.7695269663013993,0.6943357264628904,0.6551349147012846,0.6741659478236542
3,-0.7,0.7720417872543927,0.7161354581673307,0.6189990711162464,0.6640337339441739
4,-0.6,0.7702525539861973,0.7281776631242464,0.5883459072475589,0.6508358186511616
5,-0.5,0.7728828093435905,0.6924165120593692,0.6764312739300845,0.6843305561603961
6,-0.4,0.7744411738029865,0.7321235927083621,0.5996284464985614,0.6592850915431561
7,-0.3,0.7770054666435798,0.7105898585719214,0.6533904257006276,0.6807907937444675
8,-0.2,0.7745236269489862,0.6752812976222784,0.7328666258864043,0.702896503770018
9,-0.1,0.7759830476331825,0.7197161945206898,0.6296925621332609,0.6717014874874634
10,0.0,0.7793471359899737,0.7147234715563683,0.6552481932078208,0.6836948170911884
11,0.1,0.7776073746093782,0.7207065902136741,0.6350166519404609,0.6751535589545947
12,0.2,0.7773435245421789,0.7099002866452704,0.6564716010784114,0.6821413437544142
13,0.3,0.7779949043955772,0.7207942127135601,0.63657989533066,0.6760746381780778
14,0.4,0.7779701684517772,0.7029168336909618,0.6753664559686445,0.6888662938485003
15,0.5,0.7786215483051756,0.7036705461056401,0.6766804866444641,0.6899116475140037
16,0.6,0.7777228090137779,0.7232168377289854,0.630576134484243,0.6737267621998451
17,0.7,0.7785143592153758,0.7236504854368933,0.6332495072384966,0.6754385964912282
18,0.8,0.7774012417443787,0.7069889876352395,0.6632456557692743,0.6844190912597753
19,0.9,0.7774919402049785,0.7394533322165452,0.6000362491220915,0.6624893691530341
20,1.0,0.7746555519825858,0.7412105731423816,0.5851061419606244,0.6539717910409968
,ns,acc,prec,rec,f1
0,-1.0,0.7919294860695409,0.723715976331361,0.692743378871293,0.707891050943986
1,-0.9,0.7902309512619454,0.7504822634229986,0.6346088493169306,0.6876987098437327
2,-0.8,0.7899176293071463,0.7451521362131484,0.642493033371848,0.6900251834008542
3,-0.7,0.7928859425631385,0.7130376344086021,0.7211309726092571,0.7170614672388741
4,-0.6,0.7919872032717409,0.7486653517422748,0.6449625048143365,0.6929555523100139
5,-0.5,0.7914182765643423,0.7633476826745681,0.6186818912979452,0.6834432445284246
6,-0.4,0.793858889685936,0.7402098604277538,0.668048664446408,0.7022804406073235
7,-0.3,0.7970250904923277,0.7339981780697128,0.6936722626248896,0.7132656983448453
8,-0.2,0.7973384124471269,0.730497289653547,0.7022134620177167,0.7160761935565849
9,-0.1,0.7962912574929296,0.7550597191232445,0.6516685924012778,0.6995646569545444
10,0.0,0.7966293153915288,0.7572795011361835,0.6493123994653255,0.6991522839543818
11,0.1,0.7984350392889241,0.743984934459945,0.6802374317496999,0.7106845294451808
12,0.2,0.7977341875479259,0.749910782564364,0.666508076757516,0.7057539373148293
13,0.3,0.7977671688063258,0.7517198891056577,0.6634495570810395,0.7048318190023468
14,0.4,0.7984515299181241,0.740834943383306,0.6862865039987313,0.7125182292891754
15,0.5,0.7951286681343327,0.761352552292186,0.6366252067332744,0.693424802892149
16,0.6,0.7972312233573272,0.7177938718662953,0.7297627948073132,0.7237288516413148
17,0.7,0.8005540851411186,0.7323008849557522,0.7124085276059721,0.7222177562902651
18,0.8,0.8002325178717195,0.7438459842751121,0.6880309929993883,0.7148506461408093
19,0.9,0.7966787872791287,0.7212630622444344,0.7193185165046784,0.7202894769677514
20,1.0,0.7973713937055268,0.7597450876261285,0.6482249258025782,0.6995684543820828
